event,ifo,pole_source,mode_rank,freq_hz,damping_hz,tau_ms,omega_re,omega_im,amp_abs,relative_rms,M_final_Msun,chi_final,is_220_candidate,kerr_220_distance,kerr_220_chi_ref,omega_re_norm,omega_im_norm,sigma_freq_hz,sigma_damping_hz,sigma_M_final_Msun,sigma_chi_final,f_kerr_hz,gamma_kerr_hz,sigma_f_kerr_hz,sigma_gamma_kerr_hz,residual_f,residual_gamma,kerr_sigma_source
GW150914,H1+L1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,248.0,238.09523809523807,4.2,1558.2299561805373,-238.09523809523807,,,63.1,0.69,True,0.014293736215951786,0.69,0.484295507655215,-0.07399963897899992,7.5,14.17233560090703,,,254.84374322932246,221.78357878965107,0.0,0.0,-0.9124990972429942,1.1509506806022187,point_estimate
GW170104,H1+L1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,287.0,285.7142857142857,3.5,1803.2741831605413,-285.7142857142857,,,48.9,0.66,True,0.054158743418901915,0.66,0.43433032840125657,-0.06881614604259453,20.0,28.571428571428573,,,322.7637986568499,293.8817514031049,0.0,0.0,-1.7881899328424935,-0.2858612991086707,point_estimate
GW170814,H1+L1+V1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,293.0,270.27027027027026,3.7,1840.9732950036187,-270.27027027027026,,,53.2,0.72,True,0.025463739378638023,0.72,0.4824015039572638,-0.07082057366457249,12.5,18.261504747991232,,,308.2591795388674,254.42710057694626,0.0,0.0,-1.2207343631093908,0.8675719724064224,point_estimate
GW170823,H1+L1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,197.0,181.8181818181818,5.5,1237.7875055143784,-181.8181818181818,,,65.4,0.72,True,0.10910076960443615,0.72,0.39872491574614405,-0.058568566012827256,17.0,29.75206611570248,,,250.75517356984318,206.9651643836933,0.0,0.0,-3.162069033520187,-0.8452180251185802,point_estimate
GW190408_181802,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,319.0,312.5,3.2,2004.336112990288,-312.5,,,41.4,0.67,True,0.08305756634702738,0.67,0.40871485681965153,-0.06372354014297002,15.5,29.296874999999993,,,383.63075447995305,344.091619233902,0.0,0.0,-4.169726095480843,-1.0783272698505222,point_estimate
GW190421_213856,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,162.0,158.73015873015873,6.3,1017.8760197630929,-158.73015873015873,,,70.5,0.66,True,0.13590461913730822,0.66,0.3534545136323687,-0.05511859004774954,14.0,25.195263290501387,,,223.8744646002831,203.84138501577058,0.0,0.0,-4.419604614305935,-1.7904645712759342,point_estimate
GW190503_185404,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,191.0,188.67924528301887,5.3,1200.088393671301,-188.67924528301887,,,66.5,0.66,True,0.09579226067232711,0.66,0.3930831367569855,-0.06180097230163167,16.0,28.479886080455678,,,237.34059780932267,216.1025209565688,0.0,0.0,-2.896287363082667,-0.9628997670875222,point_estimate
GW190512_180714,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,381.0,384.6153846153846,2.6,2393.893602035422,-384.6153846153846,,,34.3,0.65,True,0.08120404507979145,0.65,0.4044347798355558,-0.06497859314467101,37.5,29.585798816568044,,,457.2590750195296,422.6309694151635,0.0,0.0,-2.033575333854122,-1.284926766232528,point_estimate
GW190513_205428,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,241.0,232.55813953488374,4.3,1514.2476590302804,-232.55813953488374,,,52.1,0.71,True,0.11591201487371762,0.71,0.3885833305857092,-0.05967862382112101,27.0,40.562466197944836,,,312.7281951420712,262.7356834485864,0.0,0.0,-2.65659982007671,-0.743977049285817,point_estimate
GW190519_153544,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,127.0,105.26315789473684,9.5,797.9645340118075,-105.26315789473684,,,100.0,0.79,True,0.13783608529496708,0.79,0.3930367150977219,-0.051847273953090266,9.0,17.72853185595568,,,171.4313404342857,124.64470251848846,0.0,0.0,-4.936815603809521,-1.0932402514334898,point_estimate
GW190521,H1+L1+V1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,68.0,63.291139240506325,15.8,427.2566008882119,-63.291139240506325,,,147.4,0.62,False,0.1682128169051465,0.62,0.31019571675334545,-0.04595046690918501,4.0,12.818458580355712,,,104.38599613106902,100.89902356122762,0.0,0.0,-9.096499032767255,-2.93388507557027,point_estimate
GW190521_074359,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,198.0,185.18518518518516,5.4,1244.0706908215582,-185.18518518518516,,,72.6,0.71,True,0.059380490269576966,0.71,0.44486804505407346,-0.06622049045453028,7.0,13.717421124828531,,,224.42340174796024,188.5472328880352,0.0,0.0,-3.7747716782800347,-0.24509327753776858,point_estimate
GW190602_175927,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,105.0,100.0,10.0,659.7344572538566,-100.0,,,110.5,0.72,True,0.14895695088551103,0.72,0.35907153440325346,-0.05442667583225652,9.5,17.0,,,148.41075431192527,122.49340950853883,0.0,0.0,-4.569553085465818,-1.323141735796402,point_estimate
GW190706_222641,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,108.0,91.74311926605505,10.9,678.5840131753953,-91.74311926605505,,,107.3,0.78,False,0.16917091292702346,0.78,0.3586351708061764,-0.048486714407415206,10.5,19.35863984513088,,,158.7780490108363,117.59065805057463,0.0,0.0,-4.836004667698695,-1.3351939491255531,point_estimate
GW190708_232457,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,497.0,476.19047619047615,2.1,3122.7430976682544,-476.19047619047615,,,30.1,0.68,True,0.03163917233561197,0.68,0.46296939738955833,-0.07059870469945792,28.0,34.01360544217687,,,530.9460703196064,469.1019411613044,0.0,0.0,-1.2123596542716573,0.2084029298576491,point_estimate
GW190727_060333,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,178.0,163.9344262295082,6.1,1118.4069846779664,-163.9344262295082,,,65.4,0.73,False,0.15111307766053025,0.73,0.3602692132122521,-0.052807723454188514,17.0,25.530771298038164,,,252.37978189653782,204.6256023503934,0.0,0.0,-4.375281288031637,-1.5938091194296187,point_estimate
GW190828_063405,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,239.0,208.33333333333334,4.8,1501.681288415921,-208.33333333333334,,,54.3,0.74,True,0.11286565239645957,0.74,0.4016309116160398,-0.05571961722646171,10.5,23.87152777777778,,,305.9279396058823,243.63733032666508,0.0,0.0,-6.374089486274502,-1.4789165285933876,point_estimate
GW190910_112807,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,177.0,169.4915254237288,5.9,1112.1237993707869,-169.4915254237288,,,74.4,0.69,True,0.09037257672947084,0.69,0.40754503100621114,-0.062111276661091876,8.0,18.67279517380063,,,216.1376370668044,188.09870727993254,0.0,0.0,-4.8922046333505484,-0.9964861544837726,point_estimate
GW190915_235702,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,232.0,217.3913043478261,4.6,1457.698991265664,-217.3913043478261,,,54.7,0.69,True,0.10543057361306868,0.69,0.3927396164784355,-0.05857051284722471,16.0,33.08128544423441,,,293.97879703419096,255.8417517664896,0.0,0.0,-3.873674814636935,-1.1623020962555997,point_estimate
