event,fit_status,source_dir,source_file,available_groups,available_posterior_vars,t0,f_ringdown_hz,f_ringdown_hz_q05,f_ringdown_hz_q95,damping_hz,damping_hz_q05,damping_hz_q95,tau_ms,tau_ms_q05,tau_ms_q95,M_final_Msun,M_final_Msun_q05,M_final_Msun_q95,chi_final,chi_final_q05,chi_final_q95,parser_notes
GW170104_t0_m0p002,ok_posterior,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc/GW170104_t0_m0p002_ringdown_fit.nc,posterior;sample_stats;observed_data;constant_data;log_likelihood,a;a_scale;ax_unit;ay_unit;chi;ellip;f;g;h_det_mode;m;phi,1167559936.182955,160.24674463544443,96.44055108828385,363.18979629520777,173.94149667764367,122.12665231486167,386.4179017137181,5.749059419979844,2.5878718236528826,8.18822084324266,94.08225407174194,44.185042061873986,137.00114132852056,0.4199225510382527,0.03752894761143578,0.9220992347763344,event_from_filename_stem;t0_from_config_target;tau_ms_derived_as_1000_over_g_hz
GW170104_t0_m0p004,ok_posterior,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc/GW170104_t0_m0p004_ringdown_fit.nc,posterior;sample_stats;observed_data;constant_data;log_likelihood,a;a_scale;ax_unit;ay_unit;chi;ellip;f;g;h_det_mode;m;phi,1167559936.1809552,161.47729084229263,97.04421817612551,375.98178293503247,176.54361157587664,119.28106562917137,379.75814997570416,5.664322775962982,2.633254875672786,8.383560246760908,95.78077655294803,45.0616507933076,136.3871065154523,0.41030446331243053,0.03415451030514633,0.9229539318227256,event_from_filename_stem;t0_from_config_target;tau_ms_derived_as_1000_over_g_hz
GW170104_t0_p0p000,ok_posterior,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc/GW170104_t0_p0p000_ringdown_fit.nc,posterior;sample_stats;observed_data;constant_data;log_likelihood,a;a_scale;ax_unit;ay_unit;chi;ellip;f;g;h_det_mode;m;phi,1167559936.1849551,195.63779777667122,97.51360138396925,329.7756231022653,197.23510328811142,123.24663117807192,389.2367964223066,5.070091395136943,2.5691301778032294,8.113812040469957,82.10997008657594,44.68016720490073,135.420090999895,0.3797215314461091,0.03520949878318325,0.9242186474633294,event_from_filename_stem;t0_from_config_target;tau_ms_derived_as_1000_over_g_hz
GW170104_t0_p0p002,ok_posterior,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc/GW170104_t0_p0p002_ringdown_fit.nc,posterior;sample_stats;observed_data;constant_data;log_likelihood,a;a_scale;ax_unit;ay_unit;chi;ellip;f;g;h_det_mode;m;phi,1167559936.1869552,169.64842030775802,95.92414779770287,353.9318903941621,178.9171049523865,120.63701795291192,394.9186256902919,5.589180532884883,2.5321672236959336,8.289329568725982,90.81371751370648,44.20816864502399,136.80561511606868,0.42092307695119885,0.0349053316684695,0.9304956422078471,event_from_filename_stem;t0_from_config_target;tau_ms_derived_as_1000_over_g_hz
GW170104_t0_p0p004,ok_posterior,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc/GW170104_t0_p0p004_ringdown_fit.nc,posterior;sample_stats;observed_data;constant_data;log_likelihood,a;a_scale;ax_unit;ay_unit;chi;ellip;f;g;h_det_mode;m;phi,1167559936.188955,186.35525912707328,95.54789350517558,387.92168166305726,193.81120787647595,123.6233415202966,405.45744153238735,5.159660325925744,2.4663500963765674,8.089087284829775,82.64191370161068,42.73246447963339,137.00855534293112,0.4608595016394539,0.04202737047566977,0.9209940291538523,event_from_filename_stem;t0_from_config_target;tau_ms_derived_as_1000_over_g_hz
GW170814_t0_m0p002,ok_posterior,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc/GW170814_t0_m0p002_ringdown_fit.nc,posterior;sample_stats;observed_data;constant_data;log_likelihood,a;a_scale;ax_unit;ay_unit;chi;ellip;f;g;h_det_mode;m;phi,1186741861.533785,258.57252343752754,101.17580603802338,485.81969371498326,192.9788676147419,112.50579852280191,371.9257624469242,5.181914539971157,2.6887086106134026,8.888430757614033,63.81781490838661,42.623268828695934,134.0591744917565,0.7206382397930899,0.05593572489097168,0.9810224718577091,event_from_filename_stem;t0_from_config_target;tau_ms_derived_as_1000_over_g_hz
GW170814_t0_m0p004,ok_posterior,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc/GW170814_t0_m0p004_ringdown_fit.nc,posterior;sample_stats;observed_data;constant_data;log_likelihood,a;a_scale;ax_unit;ay_unit;chi;ellip;f;g;h_det_mode;m;phi,1186741861.5317852,259.1872715425718,101.35120415798269,339.08711972003607,251.86652291655673,128.81194187255943,415.9596634768957,3.970356951055776,2.404079260092835,7.763255374174498,63.01612879869938,42.79761895213842,134.16787161080123,0.4239347488637958,0.03751736301754989,0.8992995632504543,event_from_filename_stem;t0_from_config_target;tau_ms_derived_as_1000_over_g_hz
GW170814_t0_p0p000,ok_posterior,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc/GW170814_t0_p0p000_ringdown_fit.nc,posterior;sample_stats;observed_data;constant_data;log_likelihood,a;a_scale;ax_unit;ay_unit;chi;ellip;f;g;h_det_mode;m;phi,1186741861.5357852,126.0512398361289,95.19761580471749,414.34423300912215,153.93747082868396,124.16228495200001,346.7155471100702,6.4961441461701925,2.8842087074985843,8.05397549172513,112.613689519645,45.557744893346644,137.69253594866663,0.35203058749100136,0.03527298796139738,0.9253144954266621,event_from_filename_stem;t0_from_config_target;tau_ms_derived_as_1000_over_g_hz
GW170814_t0_p0p002,ok_posterior,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc/GW170814_t0_p0p002_ringdown_fit.nc,posterior;sample_stats;observed_data;constant_data;log_likelihood,a;a_scale;ax_unit;ay_unit;chi;ellip;f;g;h_det_mode;m;phi,1186741861.5377853,202.28688325521108,101.56880784202495,530.5639985847887,202.9688017242542,118.43094077072752,393.78248725608864,4.926865565076166,2.5394730145773847,8.443739393541735,77.39395780531731,41.25860390035381,134.96261444690117,0.6062283826224164,0.06394225846840089,0.9607195274565109,event_from_filename_stem;t0_from_config_target;tau_ms_derived_as_1000_over_g_hz
GW170814_t0_p0p004,ok_posterior,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc,/home/adnac/ringest/runs/community_ringdown_cohort/pilot_ringdown_t0_scan_nc/GW170814_t0_p0p004_ringdown_fit.nc,posterior;sample_stats;observed_data;constant_data;log_likelihood,a;a_scale;ax_unit;ay_unit;chi;ellip;f;g;h_det_mode;m;phi,1186741861.5397851,198.50035361444068,111.56435964746572,376.46297015639,211.5648357448585,110.01340294527743,377.75000765557246,4.726683413523281,2.6472534208703102,9.089801544430157,79.3533750892544,44.290615615735035,128.22848236246756,0.5209774841231118,0.057225904953412746,0.9417521919178178,event_from_filename_stem;t0_from_config_target;tau_ms_derived_as_1000_over_g_hz
